,ESCP-P003,FOXX-P003,DJNG-P002,MUZP-P001,FELD-P003,DJNG-P001,MUZP-P002,DUFF-P001,MUZP-P003,ASCS-P003,DUFF-P002,FELD-P002,DJNG-P003,VCTD-P001,VCTD-P002,FELD-P001,ASCS-P002,ASCS-P001,ESCP-P001,FOXX-P001,ESCP-P002,VCTD-P003,FOXX-P002,DUFF-P003,100442,102199,100292,102760,106126,103197,106133,100250,102598,100662,102795,102126
0.0,1970.0,11822.5,6812.5,1759.5238095238096,2077.5,2569.135802469136,2305.0,108.33333333333334,2212.5,1360.0,575.0,1477.5,830.0,465.3333333333333,1217.5,492.2077922077922,1160.0,374.0740740740741,221.18644067796612,204.76190476190476,125.0,62.5,122.5,80.0,780.0,1043.3333333333335,61389.0625,2195.3125,1111.3207547169811,19494.0,3626.5625,19956.25,21266.666666666668,1037.5,788.2352941176471,992.1875
0.07,0.0,7.5,10.0,13.095238095238095,30.0,6.172839506172839,22.5,0.0,22.5,5.0,22.5,30.0,5.0,5.333333333333333,37.5,18.18181818181818,27.5,2.4691358024691357,4.237288135593221,4.761904761904762,7.5,0.0,2.5,7.5,0.0,0.0,0.0,3.125,3.773584905660377,20.0,6.25,12.5,45.23809523809524,15.277777777777779,0.0,15.625
0.14,0.0,12.5,2.5,1.1904761904761905,5.0,1.2345679012345678,10.0,2.0833333333333335,7.5,2.5,0.0,5.0,2.5,2.6666666666666665,0.0,1.2987012987012987,7.5,1.2345679012345678,5.932203389830509,2.380952380952381,7.5,2.5,0.0,2.5,0.0,0.0,28.125,1.5625,0.0,24.0,6.25,20.833333333333336,11.904761904761905,0.0,0.0,0.0
0.21,0.0,5.0,2.5,1.1904761904761905,0.0,0.0,2.5,0.0,2.5,2.5,2.5,2.5,12.5,0.0,5.0,0.0,7.5,1.2345679012345678,0.0,0.0,0.0,2.5,5.0,0.0,0.0,0.0,7.8125,0.0,0.0,6.0,0.0,4.166666666666667,7.142857142857143,0.0,0.0,0.0
0.28,0.0,2.5,0.0,1.1904761904761905,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,5.0,1.2987012987012987,2.5,0.0,0.0,2.380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,4.6875,0.0,0.0,0.0,0.0,4.166666666666667,2.380952380952381,1.3888888888888888,0.0,0.0
0.35,2.5,7.5,2.5,2.380952380952381,2.5,3.7037037037037033,5.0,2.0833333333333335,7.5,2.5,0.0,2.5,10.0,0.0,5.0,0.0,2.5,2.4691358024691357,0.8474576271186441,0.0,2.5,2.5,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,4.166666666666667,7.142857142857143,0.0,0.0,1.5625
0.42,0.0,2.5,2.5,0.0,0.0,1.2345679012345678,0.0,0.0,7.5,2.5,0.0,2.5,2.5,0.0,2.5,0.0,2.5,4.938271604938271,0.8474576271186441,2.380952380952381,2.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.380952380952381,0.0,0.0,0.0
0.49,0.0,0.0,0.0,0.0,2.5,1.2345679012345678,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,1.2987012987012987,0.0,0.0,0.8474576271186441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.0,2.5,0.0,2.380952380952381,5.0,0.0,0.0,0.0,5.0,0.0,2.5,7.5,2.5,0.0,2.5,5.194805194805195,5.0,0.0,2.5423728813559325,2.380952380952381,0.0,0.0,5.0,2.5,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9607843137254901,0.0
0.63,0.0,0.0,2.5,1.1904761904761905,2.5,1.2345679012345678,5.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,1.2987012987012987,0.0,0.0,0.8474576271186441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,0.0,1.5625
0.7,0.0,2.5,2.5,0.0,0.0,4.938271604938271,0.0,0.0,5.0,0.0,0.0,5.0,0.0,1.3333333333333333,2.5,2.5974025974025974,2.5,0.0,1.6949152542372883,0.0,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.77,0.0,2.5,2.5,0.0,0.0,0.0,2.5,0.0,5.0,0.0,2.5,5.0,2.5,1.3333333333333333,2.5,1.2987012987012987,2.5,2.4691358024691357,0.8474576271186441,0.0,2.5,0.0,0.0,7.5,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,2.0833333333333335,2.380952380952381,0.0,0.0,0.0
0.84,0.0,0.0,15.0,1.1904761904761905,5.0,4.938271604938271,5.0,0.0,5.0,0.0,2.5,5.0,5.0,0.0,12.5,2.5974025974025974,12.5,6.172839506172839,2.5423728813559325,7.142857142857143,5.0,2.5,5.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0.0,0.0,2.5,1.1904761904761905,0.0,2.4691358024691357,0.0,0.0,2.5,2.5,0.0,0.0,0.0,1.3333333333333333,2.5,1.2987012987012987,2.5,1.2345679012345678,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,2.5,1.1904761904761905,0.0,3.7037037037037033,2.5,0.0,0.0,10.0,0.0,0.0,0.0,5.333333333333333,0.0,0.0,5.0,1.2345679012345678,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
