samples,fractions,,
JKLR,0.97,,
FLAB,0.89,,
JGLR,0.86,,
JFGH,0.78,,
GKHG,0.95,,
JHPP,0.82,,
WHPA,0.87,,
HKLP,0.62,,
FQTR,0.33,,
JUTM,0.63,,
TFLK,0.71,,
JQRT,0.70,,
WQHT,0.54,,
QWID,0.37,,
QWER,0.70,,
POIU,0.72,,
ASDF,0.74,,
GFUR,0.72,,
ZXCV,0.75,,
HJKL,0.69,,
REWQ,0.75,,
SDFG,0.77,,
XCVB,0.71,,
JGIS,0.81,,
WWZX,0.59,,
KRUK,1.10,,
101086,1.21,,
102801,0.93,,
100626,1.07,,
101425,0.88,,
145355,0.97,,
100296,1.16,,
103197,1.07,,
100250,1.05,,
102598,1.60,,
101599,1.03,,
100292,0.81,,
106732,1.31,,
106853,1.10,,
109195,1.34,,
109286,0.66,,
109336,1.18,,
110164,1.22,,
113493,0.97,,
114250,1.46,,
121203,1.24,,
121274,1.19,,
123154,0.31,,
123874,1.27,,
124110,1.19,,
127216,0.06,,
128141,0.90,,
129125,0.03,,
129499,0.08,,
130752,1.30,,
131004,0.25,,
139606,0.80,,
103971,0.36,,
101997,1.53,,
102073,0.92,,
106401,1.08,,
106136,1.47,,
109837,1.41,,
121624,1.26,,
102060,0.71,,
103782,1.13,,
114482,1.43,,
109604,0.18,,
101968,1.40,,
102919,1.25,,
100654,1.44,,
ASCS-P001,0.81,,
DJNG-P001,0.81,,
VCTD-P001,0.75,,
MUZP-P001,0.84,,
ESCP-P001,1.18,,
FOXX-P001,0.42,,
FELD-P001,0.77,,
DUFF-P001,0.48,,
ASCS-P002,0.40,,
DJNG-P002,0.40,,
VCTD-P002,0.40,,
MUZP-P002,0.40,,
ESCP-P002,0.40,,
FOXX-P002,0.40,,
FELD-P002,0.40,,
DUFF-P002,0.40,,
ASCS-P003,0.40,,
DJNG-P003,0.40,,
VCTD-P003,0.40,,
MUZP-P003,0.40,,
ESCP-P003,0.40,,
FOXX-P003,0.40,,
FELD-P003,0.40,,
DUFF-P003,0.40,,
106133,0.64,,
102598,0.42,,
102760,0.64,,
106126,0.53,,
100250,0.48,,
100442,0.60,,
103197,0.50,,
102795,0.51,,
100292,0.64,,
102126,0.64,,
100662,0.72,,
102199,0.60,,
