,WHPA,KRUK,JFGH,JUTM,FQTR,WQHT,JHPP,TFLK,QWER,JKLR,POIU,JGIS,FLAB,JQRT,JGLR,WWZX,ASDF,HKLP,QWID,SDFG,GKHG,REWQ,HJKL,XCVB,ZXCV,GFUR,101086,106732,101599,121203,103782,130752,121274,103971,129499,101997,124110,109604,128141,102919,102060,100626,131004,145355,109195,129125,123874,101425,100654,109286,113493,110164,102801,106853,123154,127216,139606,109336,102073,114482,109837,106136,100296,114250,106401,121624,101968
0.0,4535.632183908046,4184.545454545454,11228.205128205127,5776.190476190476,39100.0,17342.59259259259,5364.634146341464,7022.535211267606,5304.285714285715,3642.2680412371137,4350.0,2441.975308641975,5410.112359550561,4611.428571428572,8675.581395348838,10194.915254237289,1751.3513513513515,9701.612903225807,16275.675675675677,2515.5844155844156,2114.7368421052633,5521.333333333333,4418.840579710145,4305.633802816902,3076.0,3134.722222222222,5169.421487603306,4264.12213740458,13666.019417475727,4841.129032258064,4556.637168141593,4626.153846153846,4510.084033613445,34841.66666666667,225762.5,1722.2222222222222,5161.344537815126,69066.66666666667,6674.444444444444,4056.8,10776.05633802817,9204.672897196262,63888.0,9790.721649484536,3614.9253731343283,552400.0,3155.11811023622,19869.31818181818,1086.111111111111,18472.727272727272,6195.876288659794,4040.1639344262294,9426.881720430107,5454.545454545454,51522.58064516129,311400.0,14288.75,2196.6101694915255,7073.913043478261,1076.2237762237762,741.1347517730497,1211.5646258503402,6242.241379310345,3050.0,5173.148148148148,4441.269841269841,671.4285714285714
0.07,1.1494252873563218,0.9090909090909091,5.128205128205128,1.5873015873015872,69.69696969696969,35.18518518518518,1.2195121951219512,2.8169014084507045,4.285714285714286,9.278350515463918,6.944444444444445,4.938271604938271,3.3707865168539324,12.857142857142858,3.488372093023256,1.6949152542372883,1.3513513513513513,3.2258064516129035,5.405405405405405,2.5974025974025974,3.1578947368421053,2.6666666666666665,5.797101449275363,1.4084507042253522,2.6666666666666665,0.0,1.6528925619834711,8.396946564885496,2.912621359223301,7.258064516129032,6.194690265486726,5.384615384615384,13.445378151260504,88.88888888888889,0.0,1.3071895424836601,2.5210084033613445,105.55555555555556,16.666666666666668,3.2,9.859154929577466,2.803738317757009,36.0,5.154639175257732,7.462686567164178,0.0,7.086614173228346,4.545454545454546,2.0833333333333335,22.727272727272727,8.247422680412372,4.918032786885246,6.451612903225806,15.454545454545453,9.67741935483871,66.66666666666667,30.0,6.779661016949153,22.82608695652174,2.7972027972027975,1.4184397163120568,2.7210884353741496,7.758620689655173,2.0547945205479454,10.185185185185185,13.492063492063492,1.4285714285714286
0.14,1.1494252873563218,1.8181818181818181,10.256410256410255,6.349206349206349,21.21212121212121,25.925925925925924,2.4390243902439024,1.4084507042253522,0.0,11.34020618556701,1.3888888888888888,3.7037037037037033,10.112359550561798,0.0,1.1627906976744187,3.3898305084745766,1.3513513513513513,3.2258064516129035,0.0,1.2987012987012987,2.1052631578947367,4.0,7.246376811594203,0.0,2.6666666666666665,2.7777777777777777,1.6528925619834711,5.343511450381679,12.62135922330097,7.258064516129032,0.8849557522123894,1.5384615384615383,4.201680672268908,19.444444444444446,737.5,1.3071895424836601,8.403361344537815,55.55555555555556,2.2222222222222223,0.8,9.859154929577466,8.411214953271028,200.0,4.123711340206186,4.477611940298507,2000.0,2.3622047244094486,13.636363636363637,0.6944444444444444,46.96969696969697,4.123711340206186,4.098360655737705,4.301075268817204,6.363636363636363,154.83870967741936,916.6666666666667,21.25,0.8474576271186441,6.521739130434782,2.7972027972027975,4.964539007092199,0.0,6.03448275862069,9.589041095890412,10.185185185185185,8.73015873015873,0.7142857142857143
0.21,0.0,0.9090909090909091,1.282051282051282,1.5873015873015872,3.0303030303030303,7.4074074074074066,0.0,0.0,0.0,1.0309278350515465,2.7777777777777777,1.2345679012345678,5.617977528089887,1.4285714285714286,0.0,0.0,2.7027027027027026,0.0,0.0,1.2987012987012987,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.8264462809917356,0.0,3.883495145631068,1.6129032258064517,0.8849557522123894,0.7692307692307692,0.0,5.555555555555555,0.0,0.0,0.0,22.22222222222222,0.0,0.0,2.8169014084507045,3.7383177570093458,4.0,1.0309278350515465,0.0,0.0,0.7874015748031495,7.954545454545454,0.6944444444444444,3.0303030303030303,0.0,0.0,2.150537634408602,0.0,22.580645161290324,0.0,0.0,0.0,1.0869565217391304,0.0,1.4184397163120568,0.0,1.7241379310344829,0.0,1.8518518518518516,0.0,0.7142857142857143
0.28,0.0,0.0,0.0,0.0,0.0,1.8518518518518516,0.0,0.0,0.0,0.0,0.0,2.4691358024691357,2.247191011235955,1.4285714285714286,1.1627906976744187,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,1.3333333333333333,1.4492753623188408,0.0,2.6666666666666665,0.0,0.0,0.0,0.970873786407767,0.8064516129032259,0.8849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8691588785046729,0.0,3.0927835051546393,0.0,0.0,0.0,1.1363636363636365,0.0,0.0,0.0,0.819672131147541,0.0,0.0,6.451612903225807,16.666666666666668,0.0,0.0,2.1739130434782608,0.0,0.0,0.6802721088435374,2.586206896551724,0.684931506849315,1.8518518518518516,0.0,0.0
0.35,0.0,0.0,0.0,0.0,3.0303030303030303,3.7037037037037033,0.0,0.0,2.857142857142857,1.0309278350515465,4.166666666666667,1.2345679012345678,1.1235955056179776,2.857142857142857,3.488372093023256,1.6949152542372883,0.0,1.6129032258064517,0.0,0.0,0.0,1.3333333333333333,1.4492753623188408,1.4084507042253522,2.6666666666666665,4.166666666666667,0.0,0.0,0.970873786407767,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,1.9607843137254901,0.8403361344537815,16.666666666666668,0.0,0.0,2.8169014084507045,2.803738317757009,0.0,3.0927835051546393,0.0,0.0,0.7874015748031495,7.954545454545454,1.3888888888888888,0.0,1.0309278350515465,2.459016393442623,3.225806451612903,0.0,3.2258064516129035,0.0,0.0,0.8474576271186441,1.0869565217391304,0.0,0.0,0.0,6.03448275862069,4.109589041095891,2.7777777777777777,2.380952380952381,0.7142857142857143
0.42,0.0,0.0,0.0,0.0,3.0303030303030303,0.0,0.0,0.0,0.0,1.0309278350515465,1.3888888888888888,2.4691358024691357,0.0,0.0,0.0,1.6949152542372883,0.0,0.0,0.0,0.0,0.0,0.0,1.4492753623188408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9345794392523364,0.0,4.123711340206186,0.0,0.0,0.0,2.272727272727273,0.0,0.0,1.0309278350515465,0.819672131147541,1.075268817204301,0.0,0.0,0.0,0.0,0.8474576271186441,0.0,0.6993006993006994,0.0,1.3605442176870748,0.0,0.684931506849315,1.8518518518518516,0.7936507936507936,0.0
0.49,0.0,0.0,0.0,0.0,3.0303030303030303,0.0,0.0,0.0,0.0,1.0309278350515465,1.3888888888888888,0.0,1.1235955056179776,1.4285714285714286,0.0,1.6949152542372883,0.0,0.0,0.0,2.5974025974025974,0.0,1.3333333333333333,1.4492753623188408,1.4084507042253522,0.0,0.0,0.0,0.0,0.970873786407767,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.8403361344537815,0.0,0.0,0.0,0.0,0.0,0.0,1.0309278350515465,0.0,0.0,0.0,3.409090909090909,0.0,0.0,1.0309278350515465,1.639344262295082,2.150537634408602,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8620689655172414,0.0,0.0,0.7936507936507936,0.7142857142857143
0.56,0.0,0.0,0.0,0.0,0.0,1.8518518518518516,0.0,0.0,0.0,2.061855670103093,1.3888888888888888,2.4691358024691357,0.0,5.714285714285714,0.0,6.779661016949153,0.0,1.6129032258064517,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.7699115044247788,0.7692307692307692,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,2.061855670103093,0.0,0.0,0.0,3.409090909090909,0.0,4.545454545454545,1.0309278350515465,0.0,3.225806451612903,0.0,3.2258064516129035,0.0,2.5,0.0,1.0869565217391304,0.0,0.0,0.6802721088435374,0.8620689655172414,2.0547945205479454,0.9259259259259258,1.5873015873015872,0.7142857142857143
0.63,0.0,0.0,0.0,0.0,3.0303030303030303,0.0,2.4390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.779661016949153,1.3513513513513513,1.6129032258064517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5384615384615383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8169014084507045,0.0,4.0,0.0,1.4925373134328357,0.0,0.7874015748031495,1.1363636363636365,0.0,0.0,0.0,0.819672131147541,0.0,1.8181818181818181,3.2258064516129035,0.0,3.75,0.0,1.0869565217391304,0.0,0.0,0.0,0.0,0.684931506849315,0.0,0.7936507936507936,0.7142857142857143
0.7,0.0,0.0,0.0,0.0,0.0,1.8518518518518516,3.658536585365854,0.0,2.857142857142857,0.0,2.7777777777777777,0.0,1.1235955056179776,0.0,0.0,3.3898305084745766,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,2.2222222222222223,0.8,0.0,0.9345794392523364,12.0,0.0,0.0,0.0,0.0,2.272727272727273,0.0,1.5151515151515151,1.0309278350515465,0.0,0.0,0.0,6.451612903225807,83.33333333333334,3.75,0.8474576271186441,0.0,0.0,0.0,0.6802721088435374,0.0,0.0,0.0,1.5873015873015872,1.4285714285714286
0.77,0.0,0.0,0.0,0.0,3.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.1627906976744187,5.084745762711865,0.0,0.0,0.0,1.2987012987012987,0.0,2.6666666666666665,1.4492753623188408,1.4084507042253522,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,1.1363636363636365,0.0,0.0,1.0309278350515465,0.0,1.075268817204301,0.9090909090909091,9.67741935483871,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9259259259259258,1.5873015873015872,0.0
0.84,0.0,0.0,0.0,0.0,6.0606060606060606,0.0,1.2195121951219512,5.633802816901409,2.857142857142857,0.0,0.0,0.0,1.1235955056179776,2.857142857142857,5.813953488372093,8.474576271186441,2.7027027027027026,8.064516129032258,0.0,1.2987012987012987,2.1052631578947367,12.0,4.347826086956522,9.859154929577466,4.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.8403361344537815,0.0,0.0,0.0,0.0,11.11111111111111,1.1111111111111112,0.8,0.0,0.9345794392523364,4.0,1.0309278350515465,0.0,33.333333333333336,0.0,1.1363636363636365,0.0,1.5151515151515151,0.0,0.0,2.150537634408602,0.9090909090909091,3.2258064516129035,100.0,5.0,0.0,2.1739130434782608,0.6993006993006994,0.0,0.0,2.586206896551724,0.0,2.7777777777777777,1.5873015873015872,0.0
0.91,0.0,0.0,0.0,0.0,3.0303030303030303,0.0,0.0,1.4084507042253522,1.4285714285714286,1.0309278350515465,0.0,0.0,1.1235955056179776,0.0,9.30232558139535,6.779661016949153,1.3513513513513513,4.838709677419355,0.0,1.2987012987012987,0.0,1.3333333333333333,2.8985507246376816,8.450704225352114,9.333333333333334,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7874015748031495,0.0,0.0,1.5151515151515151,0.0,0.0,0.0,0.0,6.451612903225807,0.0,0.0,0.0,1.0869565217391304,0.0,0.0,0.0,0.8620689655172414,0.0,1.8518518518518516,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8169014084507045,0.0,0.0,1.3888888888888888,0.0,3.3707865168539324,0.0,9.30232558139535,1.6949152542372883,1.3513513513513513,24.193548387096776,64.86486486486487,5.194805194805195,6.315789473684211,6.666666666666667,8.695652173913045,4.225352112676057,5.333333333333333,18.055555555555557,0.0,0.0,1.941747572815534,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.8403361344537815,0.0,0.0,0.0,1.4084507042253522,0.9345794392523364,0.0,0.0,0.7462686567164178,100.0,0.0,0.0,0.0,0.0,1.0309278350515465,0.0,0.0,0.9090909090909091,3.2258064516129035,66.66666666666667,1.25,0.8474576271186441,1.0869565217391304,0.0,0.0,0.0,1.7241379310344829,0.0,0.0,0.0,0.0
