,CTR101,CTR103,CTR104,CTR106,CTR107,CTR108,CTR110,CTR111,CTR113,CTR114,CTR117,CTR118,CTR126,CTR127,CTR128,CTR129,CTR131,CTR132,CTR134,CTR147,CTR148,CTR149,CTR150,CTR151,CTR152,CTR153,CTR154,CTR84,CTR85,CTR86,CTR97,CTR98,N1L,N2L,N3L,N4L,HOT151,HOT156,HOT159,HOT162,HOT164,HOT167,HOT170,HOT172,HOT192,HOT197,HOT198,HOT204,HOT205,HOT207,HOT208,HOT215,HOT222,HOT224,HOT227,HOT229,HOT233,HOT236,HOT238,HOT240,TBR36prePlsm,TBR34prePlsm,LIC1L,LIC2L,LIC3L,LIC4L
run_1,,,0.0000,0.0000,0.0000,,,,,,0.0450,,,,0.0000,,,0.0260,,0.0360,,0.0000,,0.0000,0.0000,0.0250,0.0280,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0500,,,,0.0170,0.0170,0.0540,,0.0690,,,,0.0130,,,,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0930,0.3090,0.3540,,,
run_2,0.0000,0.0000,,,0.0000,,,,,0.0330,0.0390,,0.0000,0.0000,0.0000,,0.0000,,,0.0350,,,,,0.0000,0.0240,0.0280,0.0000,0.0000,,0.0000,,0.0000,0.0000,,,0.0130,0.1650,,0.0170,0.0480,0.0110,0.0570,,,0.0490,0.0030,,0.0260,,0.0000,,,,,0.0000,0.0000,0.0000,,0.0000,,,,0.0560,,
run_3,,0.0000,0.0000,,0.0000,0.0210,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0240,0.0000,,,,0.0130,0.0000,,,0.0260,0.0000,,,0.0000,,,0.0000,0.0490,0.0000,,0.1650,0.0150,,0.0410,0.0110,,0.0000,,,,,0.0250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0340,,,,0.0000,,,,0.3500,0.0540,,
run_4,0.0000,,0.0000,0.0000,,,,,,,,0.0000,,,0.0000,0.0000,0.0000,0.0250,,0.0350,0.0100,0.0000,0.0130,,0.0000,,,0.0000,,0.0000,0.0000,,,,0.0470,0.0000,0.0100,,,0.0170,,,0.0460,,,,0.0020,0.0080,0.0260,,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,,,0.3090,,,0.0000,0.1820
run_5,0.0000,0.0000,0.0000,0.0000,,0.0210,0.0000,,,,0.0550,0.0000,,0.0000,,,,,0.0000,0.0370,0.0130,,0.0000,0.0000,,,,,,,0.0000,0.0000,0.0000,,0.0810,,0.0280,0.1650,0.0230,,,0.0110,,,,,0.0330,0.0170,,0.0000,,,,0.0000,0.0340,,,0.0000,,0.0000,,0.3100,0.3610,,0.0000,0.1870
run_6,0.0000,,0.0000,0.0000,,0.0000,0.0000,0.0000,,,,,,,,,,0.0270,0.0000,0.0360,,0.0090,0.0140,,0.0000,,0.0290,0.0000,,,0.0000,0.0000,,0.0050,0.0520,,0.0180,,0.0190,,0.0600,0.0110,0.0770,0.0000,0.0000,,,,,,0.0000,,,0.0000,0.0340,0.0000,,0.0000,0.0000,,,,,0.0640,0.0000,
run_7,0.0000,0.0000,0.0000,,,0.0000,,,,0.0350,,0.0000,0.0000,0.0000,,0.0000,,0.0270,0.0000,,0.0130,0.0050,0.0140,,0.0000,,0.0290,,,,,,0.0000,0.0000,,,0.0170,0.1650,0.0200,,,0.0110,,,,0.0510,,0.0130,0.0270,0.0000,,,0.0000,0.0000,0.0340,,,,,,0.0950,,,0.0610,0.0000,0.1850
run_8,0.0000,0.0000,,,0.0000,,0.0000,0.0000,,,,0.0000,,,0.0000,,,,0.0000,,,,0.0000,0.0000,0.0000,0.0220,,,0.0000,0.0130,,,0.0000,0.0120,0.0790,0.0000,0.0280,0.1650,0.0220,,0.0630,,0.0760,0.0080,,,,0.0160,,,0.0000,0.0000,,,0.0340,,,0.0000,0.0000,0.0000,,0.3100,,,,0.1850
run_9,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0340,,0.0000,,0.0000,,0.0000,0.0000,,,0.0360,,,,0.0000,,,,,,0.0000,0.0000,0.0000,0.0000,,,0.0000,,,0.0170,0.0170,0.0510,0.0110,0.0580,0.0000,,0.0510,,0.0120,0.0270,0.0000,,0.0000,0.0000,,0.0340,0.0000,,,,0.0000,,,,,,
run_10,,0.0000,0.0000,0.0000,,0.0240,0.0790,0.0000,,,,0.0800,0.0000,0.0000,0.0000,,,,0.0000,,0.0000,,0.0140,0.0000,0.0000,,,,,,,0.0000,0.0000,,0.0780,,,0.1730,0.0010,0.0340,,0.0110,0.0820,0.0000,,,,0.0290,0.0280,0.0000,0.0000,,,,0.0340,0.0000,0.0000,0.0000,,,,,,0.0620,,
