,CTR101,CTR103,CTR104,CTR106,CTR107,CTR108,CTR110,CTR111,CTR113,CTR114,CTR117,CTR118,CTR126,CTR127,CTR128,CTR129,CTR131,CTR132,CTR134,CTR147,CTR148,CTR149,CTR150,CTR151,CTR152,CTR153,CTR154,CTR84,CTR85,CTR86,CTR97,CTR98,N1L,N2L,N3L,N4L,HOT151,HOT156,HOT159,HOT162,HOT164,HOT167,HOT170,HOT172,HOT192,HOT197,HOT198,HOT204,HOT205,HOT207,HOT208,HOT215,HOT222,HOT224,HOT227,HOT229,HOT233,HOT236,HOT238,HOT240,TBR36prePlsm,TBR34prePlsm,LIC1L,LIC2L,LIC3L,LIC4L
run_1,,,0.0000,0.0000,0.0000,,,,,,0.0450,,,,0.0000,,,0.0260,,0.0230,,0.0000,,0.0000,0.0000,0.0420,0.0280,0.0000,0.0310,0.0140,0.0000,,,0.0000,0.0850,,,,0.0470,0.0170,0.0540,,0.0690,,,,0.1440,,,,0.0190,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0140,0.0930,0.3320,0.3450,,,
run_2,0.0110,0.0070,,,0.0000,,,,,0.0330,0.0390,,0.0000,0.0000,0.0000,,0.0000,,,0.0230,,,,,0.0000,0.0400,0.0280,0.0000,0.0320,,0.0080,,0.0000,0.0000,,,0.0130,0.1650,,0.0170,0.0480,0.0110,0.0570,,,0.0490,0.0030,,0.0260,,0.0000,,,,,0.0000,0.0120,0.0000,,0.0130,,,,0.0490,,
run_3,,0.0070,0.0000,,0.0000,0.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0240,0.0000,,,,0.0130,0.0000,,,0.0260,0.0000,,,0.0000,,,0.0000,0.0820,0.0000,,0.1650,0.0150,,0.0410,0.0110,,0.0000,,,,,0.0250,0.0010,0.0170,0.0000,0.0210,0.0000,0.0480,,,,0.0000,,,,0.3410,0.0430,,
run_4,0.0110,,0.0000,0.0000,,,,,,,,0.0230,,,0.0000,0.0000,0.0000,0.0250,,0.0220,0.0100,0.0000,0.0130,,0.0000,,,0.0000,,0.0100,0.0000,,,,0.0800,0.0000,0.0100,,,0.0170,,,0.0460,,,,0.1410,0.0080,0.0260,,,0.0000,0.0200,0.0000,,0.0000,0.0000,0.0000,,,,0.3310,,,0.0630,0.1580
run_5,0.0160,0.0090,0.0000,0.0000,,0.0000,0.0000,,,,0.0550,0.0230,,0.0000,,,,,0.0000,0.0250,0.0130,,0.0160,0.0000,,,,,,,0.0000,0.0000,0.0000,,0.0870,,0.0280,0.1650,0.0460,,,0.0110,,,,,0.1450,0.0170,,0.0240,,,,0.0000,0.0480,,,0.0000,,0.0190,,0.3340,0.3470,,0.0720,0.1600
run_6,0.0140,,0.0000,0.0000,,0.0000,0.0760,0.0000,,,,,,,,,,0.0270,0.0000,0.0240,,0.0090,0.0140,,0.0000,,0.0290,0.0000,,,0.0000,0.0000,,0.0050,0.0910,,0.0180,,0.0480,,0.0600,0.0110,0.0770,0.0000,0.0220,,,,,,0.0260,,,0.0000,0.0470,0.0000,,0.0000,0.0000,,,,,0.0520,0.0840,
run_7,0.0120,0.0080,0.0000,,,0.0000,,,,0.0350,,0.0230,0.0000,0.0000,,0.0000,,0.0270,0.0000,,0.0130,0.0050,0.0140,,0.0000,,0.0290,,,,,,0.0000,0.0000,,,0.0170,0.1650,0.0520,,,0.0110,,,,0.0510,,0.0130,0.0270,0.0130,,,0.0230,0.0000,0.0490,,,,,,0.0950,0.3330,,0.0480,0.0730,0.1600
run_8,0.0170,0.0100,,,0.0000,,0.0780,0.0000,,,,0.0230,,,0.0000,,,,0.0000,,,,0.0160,0.0000,0.0000,0.0220,,,0.0310,0.0310,,,0.0000,0.0120,0.0920,0.0000,0.0280,0.1650,0.0460,,0.0630,,0.0760,0.0080,,,,0.0160,,,0.0230,0.0000,,,0.0470,,,0.0000,0.0000,0.0190,,,,,,0.1600
run_9,,,0.0000,0.0000,0.0000,0.0000,0.0730,0.0000,,0.0340,,0.0230,,0.0000,,0.0000,0.0110,,,0.0230,,,,0.0000,,,,,,0.0160,0.0000,0.0000,0.0000,,,0.0000,,,0.0370,0.0170,0.0510,0.0110,0.0580,0.0000,,0.0510,,0.0120,0.0270,0.0070,,0.0000,0.0190,,0.0460,0.0000,,,,0.0140,,,,,,
run_10,,0.0210,0.0000,0.0000,,0.0160,0.0900,0.0000,,,,0.0280,0.0000,0.0000,0.0000,,,,0.0000,,0.0550,,0.0140,0.0000,0.0000,,,,,,,0.0000,0.0000,,0.0890,,,0.1730,0.0870,0.0340,,0.0110,0.0820,0.0000,,,,0.0660,0.0280,0.0480,0.0210,,,,0.0340,0.0000,0.0000,0.0000,,,,,,0.0470,,
