,CTR101,CTR103,CTR104,CTR106,CTR107,CTR108,CTR110,CTR111,CTR113,CTR114,CTR117,CTR118,CTR126,CTR127,CTR128,CTR129,CTR131,CTR132,CTR134,CTR147,CTR148,CTR149,CTR150,CTR151,CTR152,CTR153,CTR154,CTR84,CTR85,CTR86,CTR97,CTR98,N1L,N2L,N3L,N4L,HOT151,HOT156,HOT159,HOT162,HOT164,HOT167,HOT170,HOT172,HOT192,HOT197,HOT198,HOT204,HOT205,HOT207,HOT208,HOT215,HOT222,HOT224,HOT227,HOT229,HOT233,HOT236,HOT238,HOT240,TBR36prePlsm,TBR34prePlsm,LIC1L,LIC2L,LIC3L,LIC4L
run_1,,,0.0000,0.1610,0.1110,,,,,,0.2100,,,,0.0720,,,0.0820,,0.0000,,0.1710,,0.0680,0.1660,0.0960,0.1930,0.1130,0.2610,0.1930,0.0520,,,0.0730,0.1000,,,,0.3640,0.1650,0.1270,,0.3190,,,,0.2110,,,,0.0420,,,0.0710,,0.2320,0.0980,0.0510,0.1290,0.3510,0.3710,0.6090,0.3320,,,
run_2,0.2460,0.1530,,,0.1240,,,,,0.1440,0.2160,,0.0540,0.0940,0.0720,,0.0520,,,0.0000,,,,,0.1770,0.0970,0.1960,0.1220,0.2860,,0.0580,,0.1240,0.0980,,,0.1740,0.2560,,0.1700,0.1470,0.1550,0.3260,,,0.3370,0.2160,,0.1140,,0.0540,,,,,0.2410,0.1190,0.0510,,0.3580,,,,0.0420,,
run_3,,0.0950,0.0000,,0.1050,0.0000,,,,,,,,0.0910,0.0720,0.0860,0.0450,0.0800,0.3740,,,,0.1570,0.0650,,,0.1920,0.1090,,,0.0500,,,0.0640,0.0950,0.1900,,0.2420,0.3600,,0.1210,0.1240,,0.2280,,,,,0.1140,0.2460,0.0380,0.1280,0.1500,0.0680,0.2680,,,,0.1230,,,,0.3260,0.0310,,
run_4,0.2340,,0.0000,0.1580,,,,,,,,0.0340,,,0.0720,0.0850,0.0430,0.0780,,0.0000,0.0750,0.1660,0.1550,,0.1570,,,0.1070,,0.1870,0.0490,,,,0.0920,0.1890,0.1450,,,0.1610,,,0.3130,,,,0.2080,0.0840,0.1140,,,0.1250,0.1490,0.0670,,0.2250,0.0900,0.0510,,,,0.6090,,,0.0980,0.1330
run_5,0.2360,0.0920,0.0000,0.1580,,0.0000,0.1000,,,,0.2060,0.0340,,0.0910,,,,,0.3730,0.0000,0.0760,,0.1560,0.0640,,,,,,,0.0500,0.0190,0.1030,,0.0940,,0.1470,0.2410,0.3580,,,0.1220,,,,,0.2090,0.0850,,0.2450,,,,0.0670,0.2660,,,0.0510,,0.3470,,0.6090,0.3240,,0.1000,0.1330
run_6,0.2450,,0.0000,0.1650,,0.0530,0.1020,0.1750,,,,,,,,,,0.0860,0.3870,0.0000,,0.1820,0.1640,,0.1760,,0.1960,0.1210,,,0.0570,0.0300,,0.0950,0.1100,,0.1710,,0.3720,,0.1430,0.1510,0.3250,0.2390,0.2200,,,,,,0.0520,,,0.0830,0.2920,0.2400,,0.0510,0.1400,,,,,0.0400,0.1200,
run_7,0.2400,0.1120,0.0000,,,0.0000,,,,0.1400,,0.0340,0.0540,0.0930,,0.0890,,0.0820,0.3800,,0.0810,0.1720,0.1600,,0.1670,,0.1930,,,,,,0.1110,0.0760,,,0.1570,0.2460,0.3650,,,0.1330,,,,0.3240,,0.0920,0.1140,0.2470,,,0.1530,0.0720,0.2770,,,,,,0.3720,,,0.0340,0.1070,0.1330
run_8,0.2430,0.1310,,,0.1190,,0.1020,0.1750,,,,0.0340,,,0.0720,,,,0.3840,,,,0.1630,0.0720,0.1730,0.0970,,,0.2750,0.1980,,,0.1170,0.0870,0.1070,0.1980,0.1660,0.2510,0.3690,,0.1370,,0.3230,0.2370,,,,0.0990,,,0.0480,0.1440,,,0.2860,,,0.0510,0.1360,0.3550,,0.6090,,,,0.1330
run_9,,,0.0000,0.1570,0.0980,0.0000,0.1000,0.1700,,0.1360,,0.0340,,0.0900,,0.0850,0.0420,,,0.0000,,,,0.0620,,,,,,0.1860,0.0490,0.0180,0.1000,,,0.1880,,,0.3560,0.1610,0.1160,0.1180,0.3120,0.2240,,0.3100,,0.0830,0.1140,0.2440,,0.1230,0.1480,,0.2610,0.2240,,,,0.3450,,,,,,
run_10,,0.0970,0.0000,0.1590,,0.0000,0.1000,0.1720,,,,0.0340,0.0540,0.0920,0.0720,,,,0.3750,,0.0780,,0.1570,0.0650,0.1620,,,,,,,0.0200,0.1050,,0.0960,,,0.2430,0.3600,0.1630,,0.1250,0.3160,0.2280,,,,0.0870,0.1140,0.2460,0.0380,,,,0.2690,0.2290,0.0940,0.0510,,,,,,0.0320,,
