,Marker6263,Marker5594,Marker29305,ZNF154,set,set_type
CTR101,0.0,0.0,0.25,2.5,0,testing
CTR103,0.0,0.0,0.25,0.0,0,testing
CTR104,0.75,0.5,0.0,0.0,0,training
CTR106,0.0,0.0,0.5,0.75,0,training
CTR107,0.0,0.0,0.0,0.0,0,testing
CTR108,1.75,0.0,0.25,0.0,0,training
CTR110,0.5,0.0,0.0,0.5,0,training
CTR111,0.0,0.0,0.0,0.5,0,training
CTR113,0.0,0.0,0.0,0.75,0,training
CTR114,0.25,0.0,0.75,1.0,0,testing
CTR117,1.25,0.0,0.0,1.75,0,testing
CTR118,0.5,0.0,0.0,0.25,0,training
CTR126,0.25,0.0,0.0,0.25,0,testing
CTR127,0.0,0.0,0.0,0.25,0,testing
CTR128,0.5,0.0,0.0,0.25,0,testing
CTR129,2.25,0.0,0.5,0.5,0,training
CTR131,0.0,0.0,0.0,0.0,0,testing
CTR132,0.75,0.0,0.0,0.0,0,training
CTR134,0.5,0.0,0.25,0.5,0,training
CTR147,0.25,0.25,0.75,0.0,0,testing
CTR148,0.5,0.0,0.0,0.5,0,training
CTR149,0.25,0.0,0.5,1.25,0,training
CTR150,0.0,0.0,0.5,0.5,0,training
CTR151,1.0,0.0,0.0,0.25,0,training
CTR152,0.25,0.0,0.5,0.75,0,testing
CTR153,0.25,0.25,0.25,0.75,0,testing
CTR154,0.5,0.0,1.0,1.75,0,testing
CTR84,0.5,0.0,0.0,1.0,0,testing
CTR85,0.75,0.0,0.75,1.25,0,testing
CTR86,0.5,0.0,0.0,1.25,0,training
CTR97,0.5,0.0,0.0,0.75,0,testing
CTR98,0.0,0.0,0.0,0.25,0,training
HOT151,1.25,0.0,0.25,1.75,1,testing
HOT156,2.0,0.75,0.75,2.0,1,testing
HOT159,1.0,0.0,1.25,1.5,1,training
HOT162,0.25,0.0,0.25,0.75,1,testing
HOT164,2.25,0.0,0.5,1.75,1,testing
HOT167,1.25,0.0,0.25,0.75,1,testing
HOT170,2.5,0.0,0.0,1.5,1,testing
HOT172,1.5,0.0,0.75,1.5,1,training
HOT192,1.0,0.0,0.25,0.75,1,training
HOT197,0.25,0.0,0.5,1.0,1,testing
HOT198,0.0,0.0,1.25,2.75,1,testing
HOT204,0.75,0.0,0.5,0.5,1,training
HOT205,1.0,0.0,0.25,0.75,1,testing
HOT207,0.75,0.0,0.0,2.5,1,training
HOT208,0.5,0.0,0.25,0.25,1,testing
HOT215,1.5,0.0,0.5,1.0,1,training
HOT222,0.5,0.0,0.25,1.0,1,training
HOT224,1.25,0.0,0.0,1.0,1,training
HOT227,0.75,0.0,0.0,1.0,1,training
HOT229,0.0,0.0,0.5,0.5,1,testing
HOT233,0.75,0.0,0.25,1.25,1,testing
HOT236,0.5,0.0,0.5,0.5,1,testing
HOT238,0.75,0.0,0.0,0.25,1,training
HOT240,0.5,0.0,0.0,3.5,1,testing
LIC1L,3.2,0.0,1.4,0.0,1,training
LIC2L,2.4000000000000004,0.2,0.2,0.2,1,testing
LIC3L,2.2,0.0,0.2,0.0,1,training
LIC4L,1.4,0.8,0.6000000000000001,1.0,1,training
N1L,0.6000000000000001,0.0,0.0,0.2,0,testing
N2L,0.6000000000000001,0.0,0.0,0.0,0,testing
N3L,0.6000000000000001,0.0,0.4,0.2,0,training
N4L,1.4,0.0,0.6000000000000001,0.6000000000000001,0,training
TBR34prePlsm,2.5,2.5,1.0,12.5,1,training
TBR36prePlsm,0.0,0.5,1.5,4.25,1,training
