numU,numM,MD,100250,100292,100296,100442,100626,100654,100662,101086,101425,101599,101968,101997,102060,102073,102126,102199,102598,102760,102795,102801,102919,103197,103782,103971,106126,106133,106136,106401,106732,106853,106921,107105,107917,109195,109286,109336,109604,109675,109837,110164,113493,114250,114321,114482,114823,115068,121203,121274,121624,123154,123874,124110,127216,128141,129125,129499,130752,131004,139606,145355,ASCS-P001,ASCS-P002,ASCS-P003,ASDF,DJNG-P001,DJNG-P002,DJNG-P003,DUFF-P001,DUFF-P002,DUFF-P003,ESCP-P001,ESCP-P002,ESCP-P003,FELD-P001,FELD-P002,FELD-P003,FLAB,FOXX-P001,FOXX-P002,FOXX-P003,FQTR,GFUR,GKHG,HJKL,HKLP,JFGH,JGIS,JGLR,JHPP,JKLR,JQRT,JUTM,KRUK,MUZP-P001,MUZP-P002,MUZP-P003,POIU,QWER,QWID,REWQ,SDFG,TFLK,VCTD-P001,VCTD-P002,VCTD-P003,WHPA,WQHT,WWZX,XCVB,ZXCV
14,0,0.0,9579.0,39289.0,7241.0,468.0,9849.0,1564.0,747.0,6255.0,17485.0,14076.0,940.0,2635.0,7651.0,6508.0,635.0,626.0,8932.0,1405.0,402.0,8767.0,5071.0,9747.0,5149.0,12543.0,589.0,2321.0,1781.0,5587.0,5586.0,6000.0,2441.0,6000.0,5036.0,4844.0,12192.0,2592.0,12432.0,5537.0,1045.0,4929.0,6010.0,4453.0,6007.0,1539.0,6009.0,6003.0,6003.0,5367.0,5596.0,15972.0,4007.0,6142.0,18684.0,6007.0,16572.0,18061.0,6014.0,15972.0,11431.0,9497.0,303.0,464.0,544.0,1296.0,2081.0,2725.0,332.0,52.0,230.0,32.0,261.0,50.0,788.0,379.0,591.0,831.0,4815.0,86.0,49.0,4729.0,12903.0,2257.0,2009.0,3049.0,6015.0,8758.0,1978.0,7461.0,4399.0,3533.0,3228.0,3639.0,4603.0,1478.0,922.0,885.0,3132.0,3713.0,6022.0,4141.0,1937.0,4986.0,349.0,487.0,25.0,3946.0,9365.0,6015.0,3057.0,2307.0
13,1,0.07,6.0,0.0,9.0,0.0,3.0,3.0,11.0,2.0,4.0,3.0,2.0,2.0,7.0,21.0,10.0,0.0,19.0,2.0,0.0,6.0,4.0,10.0,7.0,32.0,2.0,4.0,4.0,11.0,11.0,17.0,9.0,15.0,1.0,10.0,15.0,8.0,19.0,1.0,2.0,6.0,8.0,3.0,11.0,4.0,10.0,14.0,9.0,16.0,17.0,3.0,9.0,3.0,4.0,15.0,0.0,0.0,7.0,9.0,24.0,5.0,2.0,11.0,2.0,1.0,5.0,4.0,2.0,0.0,9.0,3.0,5.0,3.0,0.0,14.0,12.0,12.0,3.0,2.0,1.0,3.0,23.0,0.0,3.0,4.0,2.0,4.0,4.0,3.0,1.0,9.0,9.0,1.0,1.0,11.0,9.0,9.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,15.0,0.0,1.0,19.0,1.0,1.0,2.0
12,2,0.14,10.0,18.0,7.0,0.0,9.0,1.0,0.0,2.0,12.0,13.0,1.0,2.0,7.0,6.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,12.0,1.0,7.0,0.0,4.0,0.0,11.0,7.0,7.0,4.0,8.0,1.0,6.0,31.0,1.0,10.0,2.0,7.0,5.0,4.0,14.0,4.0,4.0,4.0,4.0,9.0,5.0,11.0,48.0,3.0,10.0,55.0,2.0,60.0,59.0,2.0,50.0,17.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,3.0,0.0,1.0,2.0,2.0,9.0,1.0,0.0,5.0,7.0,2.0,2.0,5.0,2.0,8.0,3.0,1.0,2.0,11.0,0.0,4.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,14.0,2.0,0.0,2.0
11,3,0.21,2.0,5.0,2.0,0.0,4.0,1.0,0.0,1.0,7.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0
10,4,0.28,2.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0
9,5,0.35,2.0,1.0,7.0,0.0,3.0,2.0,0.0,0.0,7.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0
8,6,0.42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7,7,0.49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
6,8,0.56,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0
5,9,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
