training cases,training controls,validation cases,validation controls
27.83505155,4.132231405,23.45679012,12.5
30.33707865,25.80645161,30.86419753,78.57142857
34.88372093,23.36448598,17.33333333,4.6875
16.66666667,50,26.19047619,3.773584906
14.73684211,24.74226804,21.18644068,50
10.97560976,31.03448276,21.42857143,0
2.298850575,24.27184466,36.36363636,50
48.38709677,13.74045802,4.166666667,1.960784314
118.1818182,27.27272727,80,46.875
9.523809524,14.17910448,47.5,18.75
14.08450704,81.81818182,80,16.66666667
30,11.01694915,57.5,0
77.77777778,15.57377049,30,
70.27027027,19.58762887,22.5,
14.28571429,19.8630137,67.5,
23.61111111,16.93548387,32.5,
12.16216216,18.48739496,30,
40.27777778,232.2580645,42.5,
32,12.5984252,12.5,
36.23188406,13.44537815,75,
37.33333333,1266.666667,2.5,
16.88311688,22.22222222,45,
28.16901408,2166.666667,52.5,
18.51851852,762.5,27.5,
49.15254237,10,,
3.636363636,260,,
,67.5,,
,127.7777778,,
,4.575163399,,
,40.2173913,,
,35.18518519,,
,6.12244898,,
,7.80141844,,
,33.33333333,,
,29.57746479,,
,10.61946903,,
,6.993006993,,
,216.6666667,,
,7.142857143,,
,7.2,,
,4.861111111,,
